"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ror-entite-geographique","ror-entite-geographique","","","",0,*,"","","","null {[]} {[]}
","ROR - Entité Géographique","Spécialisation ROR du modèle MOS EntiteGeographique. Ajoute des éléments de géolocalisation et de contact opérationnel propres au ROR.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ror-entite-geographique.numFINESS","ror-entite-geographique.numFINESS","","","",0,1,"","","","Identifier {[]} {[]}
","Numéro FINESS de l'entité géographique.Le numéro FINESS étant porteur intrinsèquement de liens avec le domaine sanitaire ou le domaine médico-social, il est, s'il existe, à privilégier pour l’identification des entités géographiques en tant qu’acteurs sanitaires et médico-sociaux par rapport au numéro SIRET (Référentiel d’identification des acteurs sanitaires et médico-sociaux - Politique Générale de Sécurité des Systèmes d’Information de Santé (PGSSI-S)).A chaque EG (établissement) est attribué un numéro FINESS qui est composé de 9 caractères numériques, tels que :** Position 1-2 : numéro du département d'implantation (""2A"", ""2B"" pour la Corse; ""97"" pour les départements d’Outre-mer; ""98"" pour Mayotte);** Position 3 : ""0"";** Position 4-8: ""1"" pour Guadeloupe, ""2"" pour Martinique, ""3"" pour Guyane, ""4"" pour Réunion, ""5"" pour Saint-Pierre-et-Miquelon + numéro d'ordre de 4 chiffres;** Position 4-8 : numéro d’ordre de 5 chiffres pour tous les autres départements;** Position 9 : clé de Luhn calculée automatiquement.","Numéro FINESS de l'entité géographique.Le numéro FINESS étant porteur intrinsèquement de liens avec le domaine sanitaire ou le domaine médico-social, il est, s'il existe, à privilégier pour l’identification des entités géographiques en tant qu’acteurs sanitaires et médico-sociaux par rapport au numéro SIRET (Référentiel d’identification des acteurs sanitaires et médico-sociaux - Politique Générale de Sécurité des Systèmes d’Information de Santé (PGSSI-S)).A chaque EG (établissement) est attribué un numéro FINESS qui est composé de 9 caractères numériques, tels que :** Position 1-2 : numéro du département d'implantation (""2A"", ""2B"" pour la Corse; ""97"" pour les départements d’Outre-mer; ""98"" pour Mayotte);** Position 3 : ""0"";** Position 4-8: ""1"" pour Guadeloupe, ""2"" pour Martinique, ""3"" pour Guyane, ""4"" pour Réunion, ""5"" pour Saint-Pierre-et-Miquelon + numéro d'ordre de 4 chiffres;** Position 4-8 : numéro d’ordre de 5 chiffres pour tous les autres départements;** Position 9 : clé de Luhn calculée automatiquement.","","","","","","","","","",,,,,"",,,,"EntiteGeographique.numFINESS",0,1,"",""
"ror-entite-geographique.numSiret","ror-entite-geographique.numSiret","","","",0,1,"","","","Identifier {[]} {[]}
","Le numéro Siret est le numéro unique d'identification, attribué par l'INSEE, à chaque entité géographique.Ce numéro est un simple numéro d'ordre, composé de 14 chiffres non significatifs:   ** les 9 chiffres du numéro Siren de l'entreprise dont l'établissement dépend, suivis des 5 chiffres du numéro interne de classement (NIC), lui-même constitué de 4 chiffres complétés d'une clé de Luhn.Le numéro Siret n'a aucun lien avec les caractéristiques de l'établissement. Il est fermé quand l'activité cesse dans l'établissement concerné ou lorsque l'établissement change d'adresse.","Le numéro Siret est le numéro unique d'identification, attribué par l'INSEE, à chaque entité géographique.Ce numéro est un simple numéro d'ordre, composé de 14 chiffres non significatifs:   ** les 9 chiffres du numéro Siren de l'entreprise dont l'établissement dépend, suivis des 5 chiffres du numéro interne de classement (NIC), lui-même constitué de 4 chiffres complétés d'une clé de Luhn.Le numéro Siret n'a aucun lien avec les caractéristiques de l'établissement. Il est fermé quand l'activité cesse dans l'établissement concerné ou lorsque l'établissement change d'adresse.","","","","","","","","","",,,,,"",,,,"EntiteGeographique.numSiret",0,1,"",""
"ror-entite-geographique.identifiantEG","ror-entite-geographique.identifiantEG","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant national de l'entité géographique dans le ROR","Identifiant spécifique généré par le RPPS ou ADELI lors de la création d'une structure d'exercice pour un cabinet individuel et un cabinet de groupe. Il est communément connu sous le nom de RPPS-rang ou ADELI-rang :- le RPPS-rang, de 14 caractères, est formé des 11 caractères de l’identifiant RPPS du titulaire du cabinet, suivi d’un numéro d’ordre sur 2 caractères et d’une clé de Luhn (1 caractère) ;- l’ADELI-rang, de 11 caractères, est formé des 9 caractères du numéro ADELI du titulaire du cabinet suivi d’un numéro d’ordre sur 2 caractères.Cet identifiant est utilisé dans les échanges techniques entre le RPPS ou ADELI avec le FNPS de la CNAM, se substituant ainsi au numéro de SIRET dans le cas où ce dernier n'est pas encore connu du RPPS ou d’ADELI.Synonyme : numEG_RPPS_ADELI","","","","","","","","","",,,,,"",,,,"EntiteGeographique.identifiantEG",0,1,"",""
"ror-entite-geographique.idNatStruct","ror-entite-geographique.idNatStruct","","","",0,1,"","","","Identifier {[]} {[]}
","Identification nationale de l'Entité géographique initiée pour les besoins du SI-CPS.Cette identification est obtenue par la concaténation du type d'identifiant national de structure (provenant de la nomenclature CodeSystem-TRE-G07-TypeIdentifiantStructure) et de l'identifiant de la structure:** 0 + Identifiant cabinet ADELI (identifiantEG);** 1 + N° FINESS (entité juridique et entité géographique indéterminées);** 3 + N° SIRET;** 4 + Identifiant cabinet RPPS (identifiantEG).Synonyme : Struct_IdNat (CI-SIS)","Identification nationale de l'Entité géographique initiée pour les besoins du SI-CPS.Cette identification est obtenue par la concaténation du type d'identifiant national de structure (provenant de la nomenclature CodeSystem-TRE-G07-TypeIdentifiantStructure) et de l'identifiant de la structure:** 0 + Identifiant cabinet ADELI (identifiantEG);** 1 + N° FINESS (entité juridique et entité géographique indéterminées);** 3 + N° SIRET;** 4 + Identifiant cabinet RPPS (identifiantEG).Synonyme : Struct_IdNat (CI-SIS)","","","","","","","","","",,,,,"",,,,"EntiteGeographique.idNatStruct",0,1,"",""
"ror-entite-geographique.typeIdNatStruct","ror-entite-geographique.typeIdNatStruct","","","",0,1,"","","","Coding {[]} {[]}
","Type d’identifiant national de la structure.","Type d’identifiant national de la structure.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_G07-TypeIdentifiantStructure/FHIR/TRE-G07-TypeIdentifiantStructure?vs","",,,,"EntiteGeographique.typeIdNatStruct",0,1,"",""
"ror-entite-geographique.numeroEducationNationale","ror-entite-geographique.numeroEducationNationale","","","",0,1,"","","","string {[]} {[]}
","Le ""numéro éducation nationale de l'établissement"" est un numéro associé délivré par l’Éducation nationale, pour tous les établissements et services pour enfants et adolescents handicapés qui emploient du personnel de l’Education nationale.","Le ""numéro éducation nationale de l'établissement"" est un numéro associé délivré par l’Éducation nationale, pour tous les établissements et services pour enfants et adolescents handicapés qui emploient du personnel de l’Education nationale.","","","","","","","","","",,,,,"",,,,"EntiteGeographique.numeroEducationNationale",0,1,"",""
"ror-entite-geographique.nomOperationnel","ror-entite-geographique.nomOperationnel","","","",1,1,"","","","string {[]} {[]}
","Nom opérationnel affiché dans le ROR","Le nom opérationnel est l’appellation communément utilisée par les acteurs de santé pour désigner l'entité géographique, indépendamment des référentiels nationaux.","","","","","","","","","",,,,,"",,,,"EntiteGeographique.nomOperationnel",0,1,"",""
"ror-entite-geographique.denominationEG","ror-entite-geographique.denominationEG","","","",0,1,"","","","string {[]} {[]}
","Nom sous lequel l'entité géographique exerce son activité. Il s’agit, par exemple, de l’enseigne commerciale pour les pharmacies. Dans le cas d'un établissement enregistré dans le FINESS, cet attribut correspond à la notion de ""raison sociale d'un établissement"" renseignée dans le FINESS.","Nom sous lequel l'entité géographique exerce son activité. Il s’agit, par exemple, de l’enseigne commerciale pour les pharmacies. Dans le cas d'un établissement enregistré dans le FINESS, cet attribut correspond à la notion de ""raison sociale d'un établissement"" renseignée dans le FINESS.","","","","","","","","","",,,,,"",,,,"EntiteGeographique.denominationEG",0,1,"",""
"ror-entite-geographique.denominationEGLongue","ror-entite-geographique.denominationEGLongue","","","",0,1,"","","","string {[]} {[]}
","Nom, sous sa forme la plus longue et complète, sous lequel l'entité géographique exerce son activité (acronymes, sigles ou abréviations développés).","Nom, sous sa forme la plus longue et complète, sous lequel l'entité géographique exerce son activité (acronymes, sigles ou abréviations développés).","","","","","","","","","",,,,,"",,,,"EntiteGeographique.denominationEGLongue",0,1,"",""
"ror-entite-geographique.complementDenominationEG","ror-entite-geographique.complementDenominationEG","","","",0,1,"","","","string {[]} {[]}
","Suite de la dénomination de l'entité géographique, si elle existe. Ce complément peut contenir notamment des informations facilitant l'adressage d'un courrier aux structures.","Suite de la dénomination de l'entité géographique, si elle existe. Ce complément peut contenir notamment des informations facilitant l'adressage d'un courrier aux structures.","","","","","","","","","",,,,,"",,,,"EntiteGeographique.complementDenominationEG",0,1,"",""
