"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ror-equipement-specifique","ror-equipement-specifique","","","",0,*,"","","","null {[]} {[]}
","Équipement spécifique dans le contexte ROR","Spécialisation ROR de l'EquipementSpecifique du MOS.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ror-equipement-specifique.typeEquipement","ror-equipement-specifique.typeEquipement","","","",1,1,"","","","Coding {[]} {[]}
","Type d'équipement (obligatoire dans le ROR)","Un type d'équipement correspond à une ressource matérielle médicotechnique spécialisée, qui permet la réalisation d’une prestation. Les équipements ordinaires utilisés pour réaliser les activités proposées par une organisation ne sont pas des équipements spécifiques.Les équipements spécifiques décrits sont des ressources propres de la structure ou mises à disposition dans le cadre d’une convention à la condition qu'elles soient utilisées sur site.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/test-ror/ValueSet/jdv-ror-equipement|0.1.0","",,,,"EquipementSpecifique.typeEquipement",0,1,"",""
"ror-equipement-specifique.nbEquipementEnService","ror-equipement-specifique.nbEquipementEnService","","","",0,1,"","","","integer {[]} {[]}
","Nombre d'équipement du même type en état de fonctionnement.","Nombre d'équipement du même type en état de fonctionnement.","","","","","","","","","",,,,,"",,,,"EquipementSpecifique.nbEquipementEnService",0,1,"",""
"ror-equipement-specifique.LimiteCaracteristiqueEquipement","ror-equipement-specifique.LimiteCaracteristiqueEquipement","","","",0,*,"","","","Base {[]} {[]}
","Précise les limites que peut supporter l'équipement le plus tolérant parmi les équipements spécifiques de même type dans cette organisation.Par exemple, si une organisation possède 3 tables de bloc opératoire pouvant accueillir des patients d'un poids maximum de 180kg, 190kg et 200Kg, seule la valeur limite de 200Kg sera identifiée dans cette classe.","Précise les limites que peut supporter l'équipement le plus tolérant parmi les équipements spécifiques de même type dans cette organisation.Par exemple, si une organisation possède 3 tables de bloc opératoire pouvant accueillir des patients d'un poids maximum de 180kg, 190kg et 200Kg, seule la valeur limite de 200Kg sera identifiée dans cette classe.","","","","","","","","","",,,,,"",,,,"EquipementSpecifique.LimiteCaracteristiqueEquipement",0,*,"",""
"ror-equipement-specifique.LimiteCaracteristiqueEquipement.typeCaracteristique","ror-equipement-specifique.LimiteCaracteristiqueEquipement.typeCaracteristique","","","",0,1,"","","","Coding {[]} {[]}
","Indique la caractéristique de l'équipement pour laquelle une valeur limite est précisée.","Indique la caractéristique de l'équipement pour laquelle une valeur limite est précisée.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R340-TypeCaracteristiqueEquipement/FHIR/TRE-R340-TypeCaracteristiqueEquipement?vs","",,,,"EquipementSpecifique.LimiteCaracteristiqueEquipement.typeCaracteristique",0,1,"",""
"ror-equipement-specifique.LimiteCaracteristiqueEquipement.valeurLimite","ror-equipement-specifique.LimiteCaracteristiqueEquipement.valeurLimite","","","",0,1,"","","","Quantity {[]} {[]}
","Correspond à la valeur extrême associée à une caractéristique de l'équipement.","Correspond à la valeur extrême associée à une caractéristique de l'équipement.","","","","","","","","","",,,,,"",,,,"EquipementSpecifique.LimiteCaracteristiqueEquipement.valeurLimite",0,1,"",""
"ror-equipement-specifique.LieuRealisationOffre","ror-equipement-specifique.LieuRealisationOffre","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/LieuRealisationOffre {[]} {[]}
","Lien vers la classe LieuRealisationOffre","Lien vers la classe LieuRealisationOffre","","","","","","","","","",,,,,"",,,,"EquipementSpecifique.LieuRealisationOffre",1,1,"",""
"ror-equipement-specifique.Agenda","ror-equipement-specifique.Agenda","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Agenda {[]} {[]}
","Lien vers la classe Agenda","Lien vers la classe Agenda","","","","","","","","","",,,,,"",,,,"EquipementSpecifique.Agenda",0,*,"",""
"ror-equipement-specifique.RendezVous","ror-equipement-specifique.RendezVous","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/RendezVous {[]} {[]}
","Lien vers la classe RendezVous","Lien vers la classe RendezVous","","","","","","","","","",,,,,"",,,,"EquipementSpecifique.RendezVous",0,*,"",""
"ror-equipement-specifique.metadonnee","ror-equipement-specifique.metadonnee","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/test-ror/StructureDefinition/ror-metadonnee {[]} {[]}
","Informations relatives à la gestion des données de l'équipement dans le ROR.","Informations relatives à la gestion des données de l'équipement dans le ROR.","","","","","","","","","",,,,,"",,,,"ror-equipement-specifique.metadonnee",1,1,"",""
