"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ror-exercice-professionnel","ror-exercice-professionnel","","","",0,*,"","","","null {[]} {[]}
","Exercice professionnel dans le contexte ROR","Spécialisation ROR de l'ExerciceProfessionnel du MOS.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ror-exercice-professionnel.civiliteExercice","ror-exercice-professionnel.civiliteExercice","","","",0,1,"","","","Coding {[]} {[]}
","Civilité d’exercice du professionnel.","Civilité d’exercice du professionnel.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/test-ror/ValueSet/jdv-ror-civilite-exercice|0.1.0","",,,,"ExerciceProfessionnel.civiliteExercice",0,1,"",""
"ror-exercice-professionnel.nomExercice","ror-exercice-professionnel.nomExercice","","","",1,1,"","","","string {[]} {[]}
","Nom sous lequel exerce le professionnel (obligatoire dans le ROR)","Nom sous lequel exerce le professionnel.","","","","","","","","","",,,,,"",,,,"ExerciceProfessionnel.nomExercice",0,1,"",""
"ror-exercice-professionnel.prenomExercice","ror-exercice-professionnel.prenomExercice","","","",0,1,"","","","string {[]} {[]}
","Prénom sous lequel exerce le professionnel.","Prénom sous lequel exerce le professionnel.","","","","","","","","","",,,,,"",,,,"ExerciceProfessionnel.prenomExercice",0,1,"",""
"ror-exercice-professionnel.profession","ror-exercice-professionnel.profession","","","",1,1,"","","","Coding {[]} {[]}
","Profession exercée (obligatoire dans le ROR)","Profession exercée ou future profession de l'étudiant.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/test-ror/ValueSet/jdv-ror-profession-sante|0.1.0","",,,,"ExerciceProfessionnel.profession",0,1,"",""
"ror-exercice-professionnel.typeProfession","ror-exercice-professionnel.typeProfession","","","",0,1,"","","","Coding {[]} {[]}
","Indique le type de profession de la personne.Exemples :** Professionnel de santé** Usager de titre** Professionnel secteur social** etc.","Indique le type de profession de la personne.Exemples :** Professionnel de santé** Usager de titre** Professionnel secteur social** etc.","","","","","","","","","",,"preferred","","https://interop.esante.gouv.fr/ig/mos/ValueSet/typeProfession-vs|0.1.0-ballot","",,,,"ExerciceProfessionnel.typeProfession",0,1,"",""
"ror-exercice-professionnel.categorieProfessionnelle","ror-exercice-professionnel.categorieProfessionnelle","","","",0,1,"","","","Coding {[]} {[]}
","Indique si le professionnel exerce sa profession en tant que :** M: Agent public** C: Civil** F: Fonctionnaire ** E: EtudiantL'autorité d'enregistrement du professionnel dépend de la catégorie de sa profession.","Indique si le professionnel exerce sa profession en tant que :** M: Agent public** C: Civil** F: Fonctionnaire ** E: EtudiantL'autorité d'enregistrement du professionnel dépend de la catégorie de sa profession.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R09-CategorieProfessionnelle/FHIR/TRE-R09-CategorieProfessionnelle?vs","",,,,"ExerciceProfessionnel.categorieProfessionnelle",0,1,"",""
"ror-exercice-professionnel.dateEffetExercice","ror-exercice-professionnel.dateEffetExercice","","","",0,1,"","","","date {[]} {[]}
","Date à partir de laquelle le professionnel exerce cette profession.","Date à partir de laquelle le professionnel exerce cette profession.","","","","","","","","","",,,,,"",,,,"ExerciceProfessionnel.dateEffetExercice",0,1,"",""
"ror-exercice-professionnel.dateFinEffetExercice","ror-exercice-professionnel.dateFinEffetExercice","","","",0,1,"","","","date {[]} {[]}
","Date à partir de laquelle le professionnel n’exerce plus cette profession.","Date à partir de laquelle le professionnel n’exerce plus cette profession.","","","","","","","","","",,,,,"",,,,"ExerciceProfessionnel.dateFinEffetExercice",0,1,"",""
"ror-exercice-professionnel.departementPremierReferencementAE","ror-exercice-professionnel.departementPremierReferencementAE","","","",0,1,"","","","Coding {[]} {[]}
","Code du département du premier référencement, pour un référencement de nature « inscription à l’ordre ».","Code du département du premier référencement, pour un référencement de nature « inscription à l’ordre ».","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_G09-DepartementOM/FHIR/TRE-G09-DepartementOM?vs","",,,,"ExerciceProfessionnel.departementPremierReferencementAE",0,1,"",""
"ror-exercice-professionnel.boiteLettresMSS","ror-exercice-professionnel.boiteLettresMSS","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/BoiteLettreMSS {[]} {[]}
","Boîte(s) aux lettres du service de messagerie sécurisée de santé (MSS) rattachée(s) à l'exercice professionnel du professionnel.","Boîte(s) aux lettres du service de messagerie sécurisée de santé (MSS) rattachée(s) à l'exercice professionnel du professionnel.","","","","","","","","","",,,,,"",,,,"ExerciceProfessionnel.boiteLettresMSS",0,*,"",""
