"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ror-offre-operationnelle","ror-offre-operationnelle","","","",0,*,"","","","null {[]} {[]}
","Offre opérationnelle dans le contexte ROR","Spécialisation ROR de l'OffreOperationnelle du MOS.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ror-offre-operationnelle.familleActiviteOperationnelle","ror-offre-operationnelle.familleActiviteOperationnelle","","","",0,1,"","","","Coding {[]} {[]}
","Une famille d’activités opérationnelles est un regroupement cohérent d’activités délivrées dans le cadre d'une prestation, répondant à un besoin de la personne. Dans le secteur médico-social, la Famille d’activité correspond au niveau 4 des prestations de la nomenclature SERAFIN.","Une famille d’activités opérationnelles est un regroupement cohérent d’activités délivrées dans le cadre d'une prestation, répondant à un besoin de la personne. Dans le secteur médico-social, la Famille d’activité correspond au niveau 4 des prestations de la nomenclature SERAFIN.","","","","","","","","","",,"preferred","","https://interop.esante.gouv.fr/ig/mos/ValueSet/familleActiviteOperationnelle-vs|0.1.0-ballot","",,,,"OffreOperationnelle.familleActiviteOperationnelle",0,1,"",""
"ror-offre-operationnelle.identifiantOffre","ror-offre-operationnelle.identifiantOffre","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'offre (obligatoire dans le ROR, format : codeINSEE/identifiant)","Identifiant de l'offre, unique et persistant au niveau national, généré par une instance régionale du ROR ou par le ROR national.Format : Concaténation du code INSEE région et d’un identifiant généré, par le ROR régional ou le ROR national, séparé par le caractère ""slash"" (ex: 94/666).","","","","","","","","","",,,,,"",,,,"OffreOperationnelle.identifiantOffre",0,1,"",""
"ror-offre-operationnelle.nomOffre","ror-offre-operationnelle.nomOffre","","","",0,1,"","","","string {[]} {[]}
","Dénomination sous laquelle l'offre est identifiée par le porteur d'offre et résultant de l'application de règles de bonnes pratiques pour être affichable auprès des professionnels comme du grand public.","Dénomination sous laquelle l'offre est identifiée par le porteur d'offre et résultant de l'application de règles de bonnes pratiques pour être affichable auprès des professionnels comme du grand public.","","","","","","","","","",,,,,"",,,,"OffreOperationnelle.nomOffre",0,1,"",""
"ror-offre-operationnelle.typeOffre","ror-offre-operationnelle.typeOffre","","","",0,1,"","","","Coding {[]} {[]}
","Le type d'offre permet de distinguer les offres et de les classer en fonction de leur nature particulière, liée à un agrément, un personnel spécialement formé ou un environnement particulièrement adapté à l'état de santé des patients.","Le type d'offre permet de distinguer les offres et de les classer en fonction de leur nature particulière, liée à un agrément, un personnel spécialement formé ou un environnement particulièrement adapté à l'état de santé des patients.","","","","","","","","","",,"required","","https://mos.esante.gouv.fr/NOS/JDV_J238-TypeOffre-ROR/FHIR/JDV-J238-TypeOffre-ROR|20250625120000","",,,,"OffreOperationnelle.typeOffre",0,1,"",""
"ror-offre-operationnelle.champActivite","ror-offre-operationnelle.champActivite","","","",1,1,"","","","Coding {[]} {[]}
","Champ d'activité principal de l'offre (obligatoire dans le ROR)","Un champ d’activité indique le domaine dans lequel s'inscrit l'offre.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/test-ror/ValueSet/jdv-ror-champ-activite|0.1.0","",,,,"OffreOperationnelle.champActivite",0,1,"",""
"ror-offre-operationnelle.temporaliteAccueil","ror-offre-operationnelle.temporaliteAccueil","","","",0,1,"","","","Coding {[]} {[]}
","La temporalité d’accueil apporte une précision sur le mode de prise en charge. Elle indique si l'établissement médico-social accepte un accueil pour une durée limitée dans le temps, de 90 jours maximum par an.","La temporalité d’accueil apporte une précision sur le mode de prise en charge. Elle indique si l'établissement médico-social accepte un accueil pour une durée limitée dans le temps, de 90 jours maximum par an.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/test-ror/ValueSet/jdv-ror-temporalite-accueil|0.1.0","",,,,"OffreOperationnelle.temporaliteAccueil",0,1,"",""
"ror-offre-operationnelle.modePriseEnCharge","ror-offre-operationnelle.modePriseEnCharge","","","",1,1,"","","","Coding {[]} {[]}
","Mode de prise en charge (obligatoire dans le ROR)","Le mode de prise en charge caractérise l'hébergement ainsi que le niveau de technicité et d'intensité des soins.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/test-ror/ValueSet/jdv-ror-mode-prise-en-charge|0.1.0","",,,,"OffreOperationnelle.modePriseEnCharge",0,1,"",""
"ror-offre-operationnelle.modaliteAccueil","ror-offre-operationnelle.modaliteAccueil","","","",0,*,"","","","Coding {[]} {[]}
","Une modalité d’accueil permet de préciser le mode de prise en charge géographiquement (ex. : sur le lieu de vie), technologiquement (ex. : téléconsultation) ou organisationnellement (ex. : accueil séquentiel).","Une modalité d’accueil permet de préciser le mode de prise en charge géographiquement (ex. : sur le lieu de vie), technologiquement (ex. : téléconsultation) ou organisationnellement (ex. : accueil séquentiel).","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/test-ror/ValueSet/jdv-ror-modalite-accueil|0.1.0","",,,,"OffreOperationnelle.modaliteAccueil",0,*,"",""
"ror-offre-operationnelle.modeGestion","ror-offre-operationnelle.modeGestion","","","",0,*,"","","","Coding {[]} {[]}
","Le mode de gestion indique le mode d’intervention des aides à domicile en fonction de la nature de la relation contractuelle (prestataire, mandataire).","Le mode de gestion indique le mode d’intervention des aides à domicile en fonction de la nature de la relation contractuelle (prestataire, mandataire).","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/test-ror/ValueSet/jdv-ror-mode-gestion|0.1.0","",,,,"OffreOperationnelle.modeGestion",0,*,"",""
"ror-offre-operationnelle.uniteSensible","ror-offre-operationnelle.uniteSensible","","","",1,1,"","","","boolean {[]} {[]}
","Indicateur de confidentialité de l'offre (obligatoire dans le ROR)","L’indicateur permet de signaler que toutes les informations de description d'une offre sont confidentielles car elles présentent un risque d'utilisation à des fins malveillantes. Valeurs possibles :0 = L'offre ne revêt pas de caractère sensible et confidentiel1 = L'offre revêt un caractère sensible et confidentiel","","","","","","","","","",,,,,"",,,,"OffreOperationnelle.uniteSensible",0,1,"",""
