"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ror-personne-physique","ror-personne-physique","","","",0,*,"","","","null {[]} {[]}
","Personne physique dans le contexte ROR","Spécialisation ROR de la PersonnePhysique du MOS.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ror-personne-physique.civilite","ror-personne-physique.civilite","","","",0,1,"","","","Coding {[]} {[]}
","Civilité de la personne physique.","Civilité de la personne physique.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/test-ror/ValueSet/jdv-ror-civilite|0.1.0","",,,,"PersonnePhysique.civilite",0,1,"",""
"ror-personne-physique.nomFamille","ror-personne-physique.nomFamille","","","",0,1,"","","","string {[]} {[]}
","Toute personne possède un nom de naissance (appelé auparavant nom de famille ou nom patronymique). Ce nom figure sur l'acte de naissance. Il peut s'agir par exemple du nom du père.Ref.: Service-public.frSynonymes : nom de naissance, nom patronymique","Toute personne possède un nom de naissance (appelé auparavant nom de famille ou nom patronymique). Ce nom figure sur l'acte de naissance. Il peut s'agir par exemple du nom du père.Ref.: Service-public.frSynonymes : nom de naissance, nom patronymique","","","","","","","","","",,,,,"",,,,"PersonnePhysique.nomFamille",0,1,"",""
"ror-personne-physique.nomUsage","ror-personne-physique.nomUsage","","","",0,1,"","","","string {[]} {[]}
","Un nom d'usage de la personne.Rappel: Toute personne possède un nom de naissance  (appelé auparavant nom de famille ou nom patronymique). Ce nom figure sur l'acte de naissance. Il peut s'agir par exemple du nom du père.Il est néanmoins possible d'utiliser, dans la vie quotidienne, un autre nom (par exemple le nom marital) appelé nom d'usage. Ce nom d'usage ne remplace en aucun cas le nom de naissance qui reste le seul nom mentionné sur les actes d'état civil (acte de naissance ou de mariage, livret de famille, etc.).Ref.: Service-public.fr","Un nom d'usage de la personne.Rappel: Toute personne possède un nom de naissance  (appelé auparavant nom de famille ou nom patronymique). Ce nom figure sur l'acte de naissance. Il peut s'agir par exemple du nom du père.Il est néanmoins possible d'utiliser, dans la vie quotidienne, un autre nom (par exemple le nom marital) appelé nom d'usage. Ce nom d'usage ne remplace en aucun cas le nom de naissance qui reste le seul nom mentionné sur les actes d'état civil (acte de naissance ou de mariage, livret de famille, etc.).Ref.: Service-public.fr","","","","","","","","","",,,,,"",,,,"PersonnePhysique.nomUsage",0,1,"",""
"ror-personne-physique.prenom","ror-personne-physique.prenom","","","",0,*,"","","","string {[]} {[]}
","Prénom(s) de la personne déclarés à sa naissance.","Prénom(s) de la personne déclarés à sa naissance.","","","","","","","","","",,,,,"",,,,"PersonnePhysique.prenom",0,*,"",""
"ror-personne-physique.prenomUsuel","ror-personne-physique.prenomUsuel","","","",0,1,"","","","string {[]} {[]}
","Le prénom usuel est un des prénoms inscrit dans l'acte de naissance.","Le prénom usuel est un des prénoms inscrit dans l'acte de naissance.","","","","","","","","","",,,,,"",,,,"PersonnePhysique.prenomUsuel",0,1,"",""
"ror-personne-physique.pseudonyme","ror-personne-physique.pseudonyme","","","",0,1,"","","","string {[]} {[]}
","Un nom de fantaisie librement choisi par une personne dans l'exercice d'une activité particulière, afin de dissimuler au public son identité véritable.","Un nom de fantaisie librement choisi par une personne dans l'exercice d'une activité particulière, afin de dissimuler au public son identité véritable.","","","","","","","","","",,,,,"",,,,"PersonnePhysique.pseudonyme",0,1,"",""
"ror-personne-physique.surnom","ror-personne-physique.surnom","","","",0,1,"","","","string {[]} {[]}
","Un nom ajouté par le public au nom de naissance d'une personne, afin de la distinguer des autres personnes portant le même nom de naissance et, qui se déférencie du pseudonyme en ce qu'il n'est pas choisi par celui qui le porte et qu'il n'a pas pour but de dissimuler son identité mais au contraire de la préciser.","Un nom ajouté par le public au nom de naissance d'une personne, afin de la distinguer des autres personnes portant le même nom de naissance et, qui se déférencie du pseudonyme en ce qu'il n'est pas choisi par celui qui le porte et qu'il n'a pas pour but de dissimuler son identité mais au contraire de la préciser.","","","","","","","","","",,,,,"",,,,"PersonnePhysique.surnom",0,1,"",""
"ror-personne-physique.sexeAdministratif","ror-personne-physique.sexeAdministratif","","","",0,1,"","","","Coding {[]} {[]}
","Sexe administratif de la personne physique, au sens de l'état civil, masculin ou féminin.","Sexe administratif de la personne physique, au sens de l'état civil, masculin ou féminin.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R10-SexeAdministratif/FHIR/TRE-R10-SexeAdministratif?vs","",,,,"PersonnePhysique.sexeAdministratif",0,1,"",""
"ror-personne-physique.sexe","ror-personne-physique.sexe","","","",0,1,"","","","Coding {[]} {[]}
","Sexe de la personne physique, notamment masculin, féminin, inconnu.Attribut associé aux nomenclatures suivantes : ** CodeSystem-TRE-R249-Sexe : représentation des sexes humains par un code alphabétique** CodeSystem-TRE-R267-SexeProvenanceISO : norme ISO 5218 qui définit la représentation des sexes humains par un code numérique** CodeSystem-TRE-R303-HL7v3AdministrativeGender : reprise de la terminologie HL7 v3 AdministrativeGender** ConceptMap-ASS-A15-SexeProvenanceISO-Sexe : table d'association entre les nomenclatures CodeSystem-TRE-R267-SexeProvenanceISO, CodeSystem-TRE-R249-Sexe","Sexe de la personne physique, notamment masculin, féminin, inconnu.Attribut associé aux nomenclatures suivantes : ** CodeSystem-TRE-R249-Sexe : représentation des sexes humains par un code alphabétique** CodeSystem-TRE-R267-SexeProvenanceISO : norme ISO 5218 qui définit la représentation des sexes humains par un code numérique** CodeSystem-TRE-R303-HL7v3AdministrativeGender : reprise de la terminologie HL7 v3 AdministrativeGender** ConceptMap-ASS-A15-SexeProvenanceISO-Sexe : table d'association entre les nomenclatures CodeSystem-TRE-R267-SexeProvenanceISO, CodeSystem-TRE-R249-Sexe","","","","","","","","","",,"preferred","","https://interop.esante.gouv.fr/ig/mos/ValueSet/sexe-vs|0.1.0-ballot","",,,,"PersonnePhysique.sexe",0,1,"",""
"ror-personne-physique.langueParlee","ror-personne-physique.langueParlee","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/LangueParlee {[]} {[]}
","Langue parlée par la personne, y compris le français.","Langue parlée par la personne, y compris le français.","","","","","","","","","",,,,,"",,,,"PersonnePhysique.langueParlee",0,*,"",""
