Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.test.ror.json	36560	-	0	0	0	0	0	0	35	92	0	0	0	0	1	0	0	1	0	0	0	178	461	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-ror-activite-operationnelle.json	3641	4	0	10	1	0	0	0	0	69	0	0	0	0	0	0	0	1	0	1	0	48	711	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ror-capacite-accueil-operationnelle.json	7951	3	0	14	0	0	0	0	0	18	0	0	1	0	0	0	0	0	0	0	0	82	277	0	1	0	2	0	0
fsh-generated/resources/StructureDefinition-ror-capacite-habitation.json	2154	2	0	9	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	39	169	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ror-capacite-prise-charge.json	2691	1	0	8	0	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	0	37	167	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ror-capacite-savoir-faire.json	1536	1	0	11	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	34	140	0	0	0	0	0	1
fsh-generated/resources/StructureDefinition-ror-competence-exclusive.json	1531	1	0	8	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	37	133	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ror-competence.json	1421	1	0	9	0	0	0	0	0	7	0	0	1	0	0	0	0	1	0	0	0	32	128	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ror-desc-non-qualifiant.json	1519	2	0	10	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	30	133	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ror-droit-exercice-complementaire.json	1664	1	0	11	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	30	127	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ror-entite-geographique.json	4935	2	0	44	0	0	0	0	0	1270	0	0	1	0	0	0	0	0	0	0	0	169	395	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-ror-entite-juridique.json	3410	2	0	18	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	89	185	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-ror-equipement-specifique.json	2193	1	0	13	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	35	107	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ror-exercice-professionnel.json	2711	2	0	27	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	64	194	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ror-forfait-socle-hebergement.json	5410	2	0	17	0	0	0	0	0	8	0	0	1	0	1	0	0	0	0	0	0	51	119	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ror-lieu-realisation-offre.json	2338	1	0	9	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	33	96	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ror-metadonnee.json	4033	3	0	8	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	39	138	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ror-offre-operationnelle.json	6853	3	0	36	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	126	218	0	0	0	4	1	0
fsh-generated/resources/StructureDefinition-ror-organisation-interne.json	3051	2	0	11	0	0	0	0	0	6	0	0	1	0	1	0	0	0	0	0	0	49	120	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-ror-orientation-particuliere.json	1558	2	0	7	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	34	95	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ror-patientele.json	2424	1	0	8	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	35	104	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ror-personne-physique.json	2008	2	0	18	0	0	0	0	0	8	0	0	1	0	0	0	0	1	0	0	0	70	172	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ror-pole.json	1157	1	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	19	89	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ror-professionnel.json	1901	1	0	9	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	45	149	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ror-qualification-pac.json	1508	2	0	6	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	29	97	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ror-savoir-faire.json	2056	2	0	5	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	31	105	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ror-situation-operationnelle.json	2945	3	0	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	64	117	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ror-specialite.json	1393	2	0	7	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	36	92	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ror-structure-interne.json	1272	1	0	3	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	26	84	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ror-supplement-tarif-hebergement.json	2140	2	0	5	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	28	93	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-ror-surspecialite-transversale.json	1672	2	0	8	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	53	95	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ror-tarif-accueil-de-jour.json	2062	2	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	27	95	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ror-tarif-aides-humaines.json	3167	2	0	8	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	34	105	0	0	0	1	0	0
