"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ror-capacite-accueil-operationnelle","ror-capacite-accueil-operationnelle","","","",0,*,"","","","null {[]} {[]}
","Capacité d'accueil opérationnelle (lits/places) dans le contexte ROR","Précise la CapacitePriseCharge par des enregistrements quantitatifs de lits ou places pour un statut et une temporalité donnée.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ror-capacite-accueil-operationnelle.natureCapacite","ror-capacite-accueil-operationnelle.natureCapacite","","","",1,1,"","","","Coding {[]} {[]}
","Indique si la capacité est exprimée en lits ou en places.","Indique si la capacité est exprimée en lits ou en places.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/test-ror/ValueSet/jdv-ror-nature-capacite|0.1.0","",,,,"ror-capacite-accueil-operationnelle.natureCapacite",1,1,"",""
"ror-capacite-accueil-operationnelle.statutCapacite","ror-capacite-accueil-operationnelle.statutCapacite","","","",1,1,"","","","Coding {[]} {[]}
","Caractérise la capacité d'accueil et précise le statut des lits décrits.","Caractérise la capacité d'accueil et précise le statut des lits décrits.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/test-ror/ValueSet/jdv-ror-statut-capacite|0.1.0","",,,,"ror-capacite-accueil-operationnelle.statutCapacite",1,1,"",""
"ror-capacite-accueil-operationnelle.temporaliteCapacite","ror-capacite-accueil-operationnelle.temporaliteCapacite","","","",1,1,"","","","Coding {[]} {[]}
","Indique le moment où cette capacité sera effective (situation immédiate ou prospective).","Indique le moment où cette capacité sera effective.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/test-ror/ValueSet/jdv-ror-temporalite|0.1.0","",,,,"ror-capacite-accueil-operationnelle.temporaliteCapacite",1,1,"",""
"ror-capacite-accueil-operationnelle.nombreCapacite","ror-capacite-accueil-operationnelle.nombreCapacite","","","",1,1,"","","","integer {[]} {[]}
","Quantité de lits ou places de la capacité exprimée.","Quantité de lits ou places de la capacité exprimée.","","","","","","","","","",,,,,"",,,,"ror-capacite-accueil-operationnelle.nombreCapacite",1,1,"",""
"ror-capacite-accueil-operationnelle.typeSourceCapacite","ror-capacite-accueil-operationnelle.typeSourceCapacite","","","",1,1,"","","","Coding {[]} {[]}
","Indique quel type de source est à l'origine de l'information de capacité.","Indique quel type de source est à l'origine de l'information de capacité.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/test-ror/ValueSet/jdv-ror-type-source|0.1.0","",,,,"ror-capacite-accueil-operationnelle.typeSourceCapacite",1,1,"",""
"ror-capacite-accueil-operationnelle.dateMAJCapacite","ror-capacite-accueil-operationnelle.dateMAJCapacite","","","",1,1,"","","","dateTime {[]} {[]}
","Date à laquelle la capacité d'accueil a été mise à jour dans la source.","Date à laquelle la capacité d'accueil a été mise à jour dans la source.","","","","","","","","","",,,,,"",,,,"ror-capacite-accueil-operationnelle.dateMAJCapacite",1,1,"",""
"ror-capacite-accueil-operationnelle.genreCapaciteDispo","ror-capacite-accueil-operationnelle.genreCapaciteDispo","","","",0,1,"","","","Coding {[]} {[]}
","Genre des patients pouvant être installés dans des lits disponibles.","Genre des patients pouvant être installés dans des lits disponibles.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/test-ror/ValueSet/jdv-ror-genre-capacite|0.1.0","",,,,"ror-capacite-accueil-operationnelle.genreCapaciteDispo",0,1,"",""
"ror-capacite-accueil-operationnelle.typeFermetureCapacite","ror-capacite-accueil-operationnelle.typeFermetureCapacite","","","",0,1,"","","","Coding {[]} {[]}
","Statut des lits fermés permettant d'identifier lesquels peuvent être réactivés.","Statut des lits fermés.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/test-ror/ValueSet/jdv-ror-type-fermeture-capacite|0.1.0","",,,,"ror-capacite-accueil-operationnelle.typeFermetureCapacite",0,1,"",""
"ror-capacite-accueil-operationnelle.typeLitSupplementaire","ror-capacite-accueil-operationnelle.typeLitSupplementaire","","","",0,1,"","","","Coding {[]} {[]}
","Statut des lits supplémentaires identifiant lesquels sont déjà mobilisés.","Statut des lits supplémentaires.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/test-ror/ValueSet/jdv-ror-type-lit-supplementaire|0.1.0","",,,,"ror-capacite-accueil-operationnelle.typeLitSupplementaire",0,1,"",""
"ror-capacite-accueil-operationnelle.typeCrise","ror-capacite-accueil-operationnelle.typeCrise","","","",0,1,"","","","Coding {[]} {[]}
","Type de crise permettant de mobiliser le nombre de lits supplémentaires décrits.","Type de crise permettant de mobiliser les lits supplémentaires.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/test-ror/ValueSet/jdv-ror-type-crise|0.1.0","",,,,"ror-capacite-accueil-operationnelle.typeCrise",0,1,"",""
"ror-capacite-accueil-operationnelle.metadonnee","ror-capacite-accueil-operationnelle.metadonnee","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/test-ror/StructureDefinition/ror-metadonnee {[]} {[]}
","Informations relatives à la gestion des données de capacité dans le ROR.","Informations relatives à la gestion des données de capacité dans le ROR.","","","","","","","","","",,,,,"",,,,"ror-capacite-accueil-operationnelle.metadonnee",1,1,"",""
