"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ror-forfait-socle-hebergement","ror-forfait-socle-hebergement","","","",0,*,"","","","null {[]} {[]}
","Forfait socle hébergement","Tarif journalier et par personne pour un type d'hébergement donné, incluant les prestations minimales réglementaires.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ror-forfait-socle-hebergement.typeTarif","ror-forfait-socle-hebergement.typeTarif","","","",1,1,"","","","Coding {[]} {[]}
","Type de tarif (ex : Forfait socle hébergement). Catégorie de services pour lesquels l'entité géographique a fixé un prix.","Type de tarif (ex : Forfait socle hébergement). Catégorie de services pour lesquels l'entité géographique a fixé un prix.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/test-ror/ValueSet/jdv-ror-type-tarif|0.1.0","",,,,"ror-tarif.typeTarif",1,1,"",""
"ror-forfait-socle-hebergement.montantTarif","ror-forfait-socle-hebergement.montantTarif","","","",1,1,"","","","Quantity {[]} {[]}
","Montant du tarif des prestations et services. Prix en euros, majoritairement appliqué par l'établissement pour un service.","Montant du tarif des prestations et services. Prix en euros, majoritairement appliqué par l'établissement pour un service.","","","","","","","","","",,,,,"",,,,"ror-tarif.montantTarif",1,1,"",""
"ror-forfait-socle-hebergement.unitePrix","ror-forfait-socle-hebergement.unitePrix","","","",1,1,"","","","Coding {[]} {[]}
","Unité de référence pour évaluer le prix des prestations et services.","Unité de référence pour évaluer le prix des prestations et services.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/test-ror/ValueSet/jdv-ror-unite-prix|0.1.0","",,,,"ror-tarif.unitePrix",1,1,"",""
"ror-forfait-socle-hebergement.dateDebutValiditeTarif","ror-forfait-socle-hebergement.dateDebutValiditeTarif","","","",0,1,"","","","date {[]} {[]}
","Dernière date de début de validité du tarif indiqué.","Dernière date de début de validité du tarif indiqué.","","","","","","","","","",,,,,"",,,,"ror-tarif.dateDebutValiditeTarif",0,1,"",""
"ror-forfait-socle-hebergement.metadonnee","ror-forfait-socle-hebergement.metadonnee","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/test-ror/StructureDefinition/ror-metadonnee {[]} {[]}
","Informations relatives à la gestion des données du tarif dans le ROR.","Informations relatives à la gestion des données du tarif dans le ROR.","","","","","","","","","",,,,,"",,,,"ror-tarif.metadonnee",1,1,"",""
"ror-forfait-socle-hebergement.prestationsNonObligatoiresIncluses","ror-forfait-socle-hebergement.prestationsNonObligatoiresIncluses","","","",0,*,"","","","Coding {[]} {[]}
","Service(s) non obligatoires inclus dans les prestations.","Service(s) non obligatoires inclus dans les prestations.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/test-ror/ValueSet/jdv-ror-prestation-non-obligatoire|0.1.0","",,,,"ror-forfait-socle-hebergement.prestationsNonObligatoiresIncluses",0,*,"",""
"ror-forfait-socle-hebergement.autresPrestationsNonObligatoiresIncluses","ror-forfait-socle-hebergement.autresPrestationsNonObligatoiresIncluses","","","",0,*,"","","","string {[]} {[]}
","Autres prestations incluses dans le tarif socle hébergement, non proposées dans la nomenclature.","Autres prestations incluses dans le tarif socle hébergement, non proposées dans la nomenclature.","","","","","","","","","",,,,,"",,,,"ror-forfait-socle-hebergement.autresPrestationsNonObligatoiresIncluses",0,*,"",""
"ror-forfait-socle-hebergement.tarifMoins60Ans","ror-forfait-socle-hebergement.tarifMoins60Ans","","","",1,1,"","","","boolean {[]} {[]}
","Indicateur précisant que le tarif hébergement est spécifiquement appliqué aux personnes de moins de 60 ans. false = 60 ans et plus ; true = moins de 60 ans.","Indicateur précisant que le tarif hébergement est spécifiquement appliqué aux personnes de moins de 60 ans.","","","","","","","","","",,,,,"",,,,"ror-forfait-socle-hebergement.tarifMoins60Ans",1,1,"",""
"ror-forfait-socle-hebergement.typeHabitation","ror-forfait-socle-hebergement.typeHabitation","","","",1,1,"","","","Coding {[]} {[]}
","Précise les caractéristiques de l'hébergement.","Précise les caractéristiques de l'hébergement.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/test-ror/ValueSet/jdv-ror-type-habitation|0.1.0","",,,,"ror-forfait-socle-hebergement.typeHabitation",1,1,"",""
"ror-forfait-socle-hebergement.conditionTarifaire","ror-forfait-socle-hebergement.conditionTarifaire","","","",0,1,"","","","Coding {[]} {[]}
","Condition tarifaire précisant les conditions d'accès à un tarif, modulées en fonction des critères relatifs à la personne.","Condition tarifaire précisant les conditions d'accès à un tarif, modulées en fonction des critères relatifs à la personne.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/test-ror/ValueSet/jdv-ror-condition-tarifaire|0.1.0","",,,,"ror-forfait-socle-hebergement.conditionTarifaire",0,1,"",""
"ror-forfait-socle-hebergement.temporaliteAccueil","ror-forfait-socle-hebergement.temporaliteAccueil","","","",1,1,"","","","Coding {[]} {[]}
","Le tarif peut s'appliquer à un hébergement permanent ou à un hébergement temporaire (90 jours maximum par an).","Le tarif peut s'appliquer à un hébergement permanent ou à un hébergement temporaire (90 jours maximum par an).","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/test-ror/ValueSet/jdv-ror-temporalite-accueil|0.1.0","",,,,"ror-forfait-socle-hebergement.temporaliteAccueil",1,1,"",""
