"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ror-situation-operationnelle","ror-situation-operationnelle","","","",0,*,"","","","null {[]} {[]}
","Situation opérationnelle d'un professionnel dans le contexte ROR","Spécialisation ROR de la SituationOperationnelle du MOS.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ror-situation-operationnelle.identifiantSituationOperationnelle","ror-situation-operationnelle.identifiantSituationOperationnelle","","","",0,1,"","","","Identifier {[]} {[]}
","Identifiant de la situation opérationnelle, unique et persistant au niveau national, obtenu par l’association de l’identifiant de l’offre opérationnelle suivi du caractère « / » puis de l’identifiant du professionnel.","Identifiant de la situation opérationnelle, unique et persistant au niveau national, obtenu par l’association de l’identifiant de l’offre opérationnelle suivi du caractère « / » puis de l’identifiant du professionnel.","","","","","","","","","",,,,,"",,,,"SituationOperationnelle.identifiantSituationOperationnelle",0,1,"",""
"ror-situation-operationnelle.modeExerciceOffre","ror-situation-operationnelle.modeExerciceOffre","","","",1,1,"","","","Coding {[]} {[]}
","Mode d'exercice du professionnel dans le cadre de l'offre (obligatoire dans le ROR)","Le mode d'exercice correspond au statut du professionnel lorsqu'il exerce dans le cadre de l'offre décrite.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/test-ror/ValueSet/jdv-ror-mode-exercice|0.1.0","",,,,"SituationOperationnelle.modeExerciceOffre",0,1,"",""
"ror-situation-operationnelle.competenceSpecifique","ror-situation-operationnelle.competenceSpecifique","","","",0,*,"","","","Coding {[]} {[]}
","La compétence spécifique correspond à une capacité ou connaissance reconnue qui permet ou facilite l’accueil d’une personne. La compétence spécifique n’est ni une spécialité ordinale, ni une profession.","La compétence spécifique correspond à une capacité ou connaissance reconnue qui permet ou facilite l’accueil d’une personne. La compétence spécifique n’est ni une spécialité ordinale, ni une profession.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/test-ror/ValueSet/jdv-ror-competence-specifique|0.1.0","",,,,"SituationOperationnelle.competenceSpecifique",0,*,"",""
"ror-situation-operationnelle.precisionHoraire","ror-situation-operationnelle.precisionHoraire","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Horaire {[]} {[]}
","Décrit le planning d'activité du professionnel.","Décrit le planning d'activité du professionnel.","","","","","","","","","",,,,,"",,,,"SituationOperationnelle.precisionHoraire",0,1,"",""
"ror-situation-operationnelle.secteurConventionnement","ror-situation-operationnelle.secteurConventionnement","","","",0,1,"","","","Coding {[]} {[]}
","Secteur de conventionnement du professionnel libéral auquel il a adhéré auprès de l'Assurance Maladie.","Secteur de conventionnement du professionnel libéral auquel il a adhéré auprès de l'Assurance Maladie.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/test-ror/ValueSet/jdv-ror-secteur-conventionnement|0.1.0","",,,,"SituationOperationnelle.secteurConventionnement",0,1,"",""
"ror-situation-operationnelle.optionContratAccesAuxSoins","ror-situation-operationnelle.optionContratAccesAuxSoins","","","",0,1,"","","","boolean {[]} {[]}
","L'Option pratique tarifaire maîtrisée (OPTAM) a remplacé le Contrat d'accès aux soins (CAS) en 2017.L’Option pratique tarifaire maîtrisée (OPTAM) est un dispositif proposé par l’Assurance Maladie aux médecins conventionnés ayant pour objectif principal de faciliter l’accès aux soins en limitant, sans les supprimer, les dépassements d’honoraires.Les médecins exerçant une spécialité chirurgicale ou de chirurgie obstétrique, qui ont réalisé au moins 50 actes de chirurgie ou d'obstérique ont la possibilité d'adhérer à l'Option pratique tarifaire maîtrisée chirurgie et obstétrique (OPTAM-CO).Synonyme : optionPratiqueTarifaireMaîtrisée","L'Option pratique tarifaire maîtrisée (OPTAM) a remplacé le Contrat d'accès aux soins (CAS) en 2017.L’Option pratique tarifaire maîtrisée (OPTAM) est un dispositif proposé par l’Assurance Maladie aux médecins conventionnés ayant pour objectif principal de faciliter l’accès aux soins en limitant, sans les supprimer, les dépassements d’honoraires.Les médecins exerçant une spécialité chirurgicale ou de chirurgie obstétrique, qui ont réalisé au moins 50 actes de chirurgie ou d'obstérique ont la possibilité d'adhérer à l'Option pratique tarifaire maîtrisée chirurgie et obstétrique (OPTAM-CO).Synonyme : optionPratiqueTarifaireMaîtrisée","","","","","","","","","",,,,,"",,,,"SituationOperationnelle.optionContratAccesAuxSoins",0,1,"",""
"ror-situation-operationnelle.carteVitaleAcceptee","ror-situation-operationnelle.carteVitaleAcceptee","","","",0,1,"","","","boolean {[]} {[]}
","L’indicateur Carte Vitale acceptée précise si le professionnel, dans le cadre de cette situation opérationnelle, dispose des moyens techniques pour prendre en charge la carte vitale ou pas. 0 : pas de prise en charge de la carte vitale1 : prise en charge de la carte vitale.","L’indicateur Carte Vitale acceptée précise si le professionnel, dans le cadre de cette situation opérationnelle, dispose des moyens techniques pour prendre en charge la carte vitale ou pas. 0 : pas de prise en charge de la carte vitale1 : prise en charge de la carte vitale.","","","","","","","","","",,,,,"",,,,"SituationOperationnelle.carteVitaleAcceptee",0,1,"",""
"ror-situation-operationnelle.telecommunication","ror-situation-operationnelle.telecommunication","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Telecommunication {[]} {[]}
","Adresse de télécommunication du professionnel dans le cadre de l'offre décrite.","Adresse de télécommunication du professionnel dans le cadre de l'offre décrite.","","","","","","","","","",,,,,"",,,,"SituationOperationnelle.telecommunication",0,1,"",""
"ror-situation-operationnelle.ExerciceProfessionnel","ror-situation-operationnelle.ExerciceProfessionnel","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/ExerciceProfessionnel {[]} {[]}
","Lien vers la classe ExerciceProfessionnel","Lien vers la classe ExerciceProfessionnel","","","","","","","","","",,,,,"",,,,"SituationOperationnelle.ExerciceProfessionnel",1,1,"",""
"ror-situation-operationnelle.OffreOperationnelle","ror-situation-operationnelle.OffreOperationnelle","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/OffreOperationnelle {[]} {[]}
","Lien vers la classe OffreOperationnelle","Lien vers la classe OffreOperationnelle","","","","","","","","","",,,,,"",,,,"SituationOperationnelle.OffreOperationnelle",1,1,"",""
"ror-situation-operationnelle.metadonnee","ror-situation-operationnelle.metadonnee","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/test-ror/StructureDefinition/ror-metadonnee {[]} {[]}
","Informations relatives à la gestion des données de la situation opérationnelle dans le ROR.","Informations relatives à la gestion des données de la situation opérationnelle dans le ROR.","","","","","","","","","",,,,,"",,,,"ror-situation-operationnelle.metadonnee",1,1,"",""
